"Scenario","Innovation","Mean_Var_Reduction","Mean_RMSE_Imp","Mean_PMM2_Conv","Mean_CSS_Conv","Mean_g"
"SARMA_1_0_1_1_12","exponential",43.54,26.84,99.8,100,0.4643
"SARMA_1_0_1_1_12","gamma",31.97,19.08,100,100,0.5877
"SARMA_1_0_1_1_12","gaussian",-4.42,-3.09,100,100,0.9802
"SARMA_1_0_1_1_12","lognormal",33.29,19.14,99.9,100,0.5721
"SAR_1_1_12","exponential",52.02,31.33,100,100,0.4661
"SAR_1_1_12","gamma",37.68,21.09,100,100,0.5913
"SAR_1_1_12","gaussian",-1.46,-0.72,100,100,0.9821
"SAR_1_1_12","lognormal",40.41,23.23,100,100,0.5776
"SMA_1_12","exponential",34.18,18.19,99.7,100,0.4873
"SMA_1_12","gamma",17.9,9.88,100,100,0.611
"SMA_1_12","gaussian",-28.75,-13.74,100,100,0.9835
"SMA_1_12","lognormal",26.7,13.47,100,100,0.5967
