"Scenario","Innovation","n","Reps","Parameter","PMM2_RMSE","CSS_RMSE","RMSE_Improvement","Var_Reduction","PMM2_Conv","CSS_Conv","Mean_g"
"SAR_1_1_12","gaussian",100,100,"ar1",0.0452404530008816,0.0445693665884414,-1.5057122499342,-3.04643581210384,1,1,0.973040327441195
"SAR_1_1_12","gaussian",100,200,"ar1",0.0478463072572606,0.0471781180480715,-1.41631170727969,-2.9792362219956,1,1,0.967573383042213
"SAR_1_1_12","gaussian",100,500,"ar1",0.0410893612600205,0.0408260930475796,-0.644852820313026,-1.43781602702434,1,1,0.968854483886366
"SAR_1_1_12","gaussian",200,100,"ar1",0.0248231982333146,0.0245563471425189,-1.08668886804266,-2.24647167264652,1,1,0.981937669903265
"SAR_1_1_12","gaussian",200,200,"ar1",0.0230566380646045,0.0227741994990496,-1.24016901479533,-2.40130202054943,1,1,0.983946867492252
"SAR_1_1_12","gaussian",200,500,"ar1",0.0273750493804672,0.0273562549357849,-0.068702549842442,-0.171562664692147,1,1,0.982392197159575
"SAR_1_1_12","gaussian",500,100,"ar1",0.0175416872258069,0.0174933587465527,-0.27626758219717,-0.603609095321751,1,1,0.992366580046638
"SAR_1_1_12","gaussian",500,200,"ar1",0.0140990469077933,0.0141267040593968,0.195779224136019,0.624641809560745,1,1,0.994800081480932
"SAR_1_1_12","gaussian",500,500,"ar1",0.014341519278184,0.0142779225539319,-0.445420011292613,-0.891641755819461,1,1,0.993837770461062
"SAR_1_1_12","gamma",100,100,"ar1",0.0333156233394409,0.0438009994442793,23.9386686100102,42.1756726070976,1,1,0.585506076171925
"SAR_1_1_12","gamma",100,200,"ar1",0.0356739880720943,0.047017899815748,24.1267938127985,42.1635739894509,1,1,0.593941600377953
"SAR_1_1_12","gamma",100,500,"ar1",0.0327046750949176,0.0414113310645482,21.0248155415711,37.5670018617861,1,1,0.597502328846575
"SAR_1_1_12","gamma",200,100,"ar1",0.0189031656361525,0.0224724700566414,15.883008905975,29.2333921399619,1,1,0.598383111290687
"SAR_1_1_12","gamma",200,200,"ar1",0.0209507323061263,0.0259108439574758,19.1429953400588,34.7167789345198,1,1,0.589536932777995
"SAR_1_1_12","gamma",200,500,"ar1",0.0210754236258097,0.0261136237962444,19.293378083969,35.0271052592517,1,1,0.588394952660791
"SAR_1_1_12","gamma",500,100,"ar1",0.0113333100769301,0.0144152915140751,21.3799452764152,38.2303184712697,1,1,0.590579414641976
"SAR_1_1_12","gamma",500,200,"ar1",0.0120368645083905,0.0155831943501438,22.7573998120646,40.5355107174795,1,1,0.586772389003271
"SAR_1_1_12","gamma",500,500,"ar1",0.0112795078396315,0.0145072329206831,22.2490746422757,39.4379618825384,1,1,0.59099200348332
"SAR_1_1_12","lognormal",100,100,"ar1",0.029831947037325,0.0431232079588558,30.8215959587518,51.2696266956264,1,1,0.583834236867151
"SAR_1_1_12","lognormal",100,200,"ar1",0.0312977251976757,0.0436241215458555,28.2559187701302,46.5863009665097,1,1,0.585375475399342
"SAR_1_1_12","lognormal",100,500,"ar1",0.0319264811698098,0.0420589279940123,24.0910724725201,41.71974549616,1,1,0.572656662180031
"SAR_1_1_12","lognormal",200,100,"ar1",0.0221352462192592,0.0238829726383918,7.31787640338867,15.2555300726735,1,1,0.561175140124302
"SAR_1_1_12","lognormal",200,200,"ar1",0.0228770827041933,0.0282697003731026,19.0756095669135,34.6494964741115,1,1,0.571244703360095
